epoch,total,ori,motion,background,middle,middle_bg
0,3.8148,3.1453,3.5858,2.8624,0.1618,0.0856
1,3.3862,2.7976,3.2606,2.605,0.0192,0.0061
2,3.2916,2.7139,3.2116,2.5518,0.0111,0.0037
3,3.2246,2.6583,3.1464,2.5138,0.0083,0.003
4,3.2013,2.6409,3.1042,2.4993,0.0068,0.0026
5,3.1568,2.6034,3.0739,2.4591,0.0059,0.0023
6,3.1383,2.5895,3.0441,2.4443,0.0051,0.002
7,3.1242,2.577,3.0256,2.4468,0.0044,0.0018
8,3.1187,2.5727,3.0329,2.4261,0.004,0.0017
9,3.0774,2.5358,3.0025,2.4126,0.0036,0.0015
10,3.0724,2.5355,2.9647,2.4043,0.0032,0.0014
11,3.0626,2.5255,2.9744,2.397,0.0029,0.0013
12,3.0736,2.5392,2.9464,2.3976,0.0029,0.0013
13,3.0647,2.5316,2.9433,2.3868,0.0023,0.0012
14,3.0456,2.5146,2.9291,2.3812,0.0021,0.0011
15,3.042,2.5121,2.9299,2.3692,0.0019,0.001
16,3.0208,2.4945,2.8957,2.3679,0.0017,0.001
17,3.0293,2.5005,2.9188,2.3697,0.0014,0.0009
18,3.02,2.493,2.911,2.3588,0.0012,0.0009
19,3.0281,2.5046,2.8802,2.355,0.001,0.0008
20,3.004,2.4817,2.8752,2.3482,0.0008,0.0008
21,3.0073,2.484,2.8946,2.3385,0.0008,0.0007
22,2.9977,2.4771,2.8629,2.3427,0.0007,0.0007
23,3.0038,2.482,2.8698,2.3481,0.0007,0.0007
24,2.9998,2.4801,2.8549,2.3426,0.0006,0.0006
25,2.9906,2.4716,2.8484,2.3416,0.0006,0.0006
26,2.9873,2.4703,2.8405,2.3302,0.0005,0.0005
27,2.9865,2.468,2.8588,2.3263,0.0005,0.0005
28,2.9662,2.45,2.845,2.3171,0.0005,0.0005
29,2.9668,2.4518,2.8255,2.3243,0.0004,0.0004
30,2.945,2.4314,2.8333,2.3024,0.0004,0.0004
31,2.9478,2.4353,2.8216,2.3043,0.0004,0.0004
32,2.9493,2.4363,2.8165,2.3136,0.0004,0.0004
33,2.9549,2.4404,2.8456,2.2997,0.0003,0.0003
34,2.9246,2.4131,2.8176,2.2968,0.0003,0.0003
35,2.9254,2.4168,2.7923,2.2932,0.0003,0.0003
36,2.9238,2.4138,2.8085,2.2909,0.0002,0.0002
37,2.9389,2.4297,2.7944,2.2974,0.0002,0.0002
38,2.9363,2.4274,2.797,2.2923,0.0002,0.0002
39,2.9211,2.4139,2.7818,2.2905,0.0002,0.0001
